Date,close,volume,tasi,oil,vix,repo_rate,alrajhi,rsi,ma20,ma50,ma200,above_ma20,above_ma50,above_ma200,ret_1d,ret_20d,vol_ratio,bb_pct,high_52w,dist_from_high,rate_change_3m,rate_regime,vix_high,oil_bull,oil_bear,tasi_20d,rs_vs_tasi_20d,fwd_30d,fwd_30d_vs_tasi,fwd_60d,fwd_60d_vs_tasi,fwd_90d,fwd_90d_vs_tasi,pe_hist,pb_hist,ret_5d,bb_upper,bb_lower,low_52w
2023-09-11,108.49622344970705,187098,11235.1396484375,90.63999938964844,13.800000190734863,5.5,44.12397384643555,51.1110921751969,108.5591651916504,,,0,0,0,0.0034964408266078273,0.01610621601205664,0.6239867610672122,0.49098143460484595,,,,stable,0.0,0.0,0.0,-0.0225060647399519,0.0386122807520086,-0.1149825639412982,-0.0388437962652803,0.0,0.0081271415549515,0.027874418185678,-0.0471082216433391,10.76,6.24,-0.013745667526826821,112.04873028241131,105.06960010088947,
2023-09-12,106.9840850830078,226391,11156.259765625,92.05999755859376,14.229999542236328,5.5,44.18629455566406,48.4210678377441,108.52271461486816,,,0,0,0,-0.013937244252563263,-0.006768086319396627,0.7750447577041536,0.2827787339881692,,,,stable,0.0,0.0,0.0,-0.0224851325714873,0.0157170462520906,-0.0742049023941177,-0.015807194408918,0.0070670113098711,0.0054751009386442,0.0918727159222336,0.0105963514932809,10.61,6.16,-0.04391881918064422,112.06433270804456,104.98109652169177,
2023-09-13,106.41702270507812,110153,11122.23046875,91.87999725341795,13.479999542236328,5.5,44.12397384643555,43.478287575012324,108.46727752685547,,,0,0,0,-0.005300436765802052,-0.01031140551073595,0.38904508544189853,0.2184219019812336,,,,stable,0.0,0.0,0.0,-0.0237457211808554,0.0134343156701195,-0.0532859507099506,0.0108459732837682,-0.0071047408528585,-0.0163761851836276,0.1101243793863793,0.0348840895810871,10.55,6.12,-0.027633915039793067,112.10792791160361,104.82662714210733,
2023-09-14,107.74014282226562,102690,11154.5400390625,93.6999969482422,12.81999969482422,5.5,44.49790191650391,42.85709216523636,108.55292739868165,,,0,0,0,0.012433350262526677,0.01615621575296866,0.37669418844026814,0.3830797225754432,,,,stable,0.0,0.0,0.0,-0.0259157722903041,0.0420719880432728,-0.0456139324710964,0.0146028427016388,-0.0280701013956092,-0.0408164528365557,0.2052630147780907,0.1291397399309042,10.69,6.2,-0.0034966525225548217,112.02873413776706,105.07712065959623,
2023-09-17,107.173095703125,91737,11104.150390625,93.6999969482422,12.81999969482422,5.5,44.49790191650391,39.56042006355246,108.67578887939453,,,0,0,0,-0.005263099753599398,0.023465685822361193,0.34658246762017114,0.2538739296313747,,,,stable,0.0,0.0,0.0,-0.0345409118133681,0.0580065976357293,-0.0476190882976712,0.0035581970817925,-0.0246914160293953,-0.0496190147154862,0.211639996947476,0.1210279387098203,10.63,6.17,-0.008741349045124247,111.72847885656545,105.62309890222362,
2023-09-18,107.173095703125,121068,11036.0400390625,94.43000030517578,14.0,5.5,43.37610626220703,42.35293223785375,108.71359252929688,,,0,0,0,0.0,0.007104812546224304,0.47731739016186364,0.23907380967312716,,,,stable,0.0,0.0,0.0,-0.0326433608311684,0.0397481733773927,-0.0476190882976712,-0.0162717758479161,-0.0388007254300299,-0.0713268815210688,0.2310406088190604,0.1341498730771,10.63,6.17,-0.012195150250509657,111.66557068112984,105.76161437746391,
2023-09-19,110.95346069335938,766191,11070.76953125,94.33999633789062,14.109999656677246,5.5,43.002174377441406,51.48517383843288,108.85535583496093,,,1,0,0,0.03527345147056482,0.026223764874110156,2.8234993672663324,0.8383839754344513,,,,stable,0.0,0.0,0.0,-0.0269636502325929,0.0531874151067031,-0.0766610245059923,-0.0535479173195212,-0.0783646746465558,-0.1082361478426165,0.1925040769057489,0.0928352911781307,11.0,6.39,0.03710248685373885,111.95553937010719,105.75517229981467,
2023-09-20,109.25228881835938,224233,11061.5,93.52999877929688,15.140000343322754,5.5,43.002174377441406,48.59810827796258,108.94041366577149,,,1,0,0,-0.015332301168158313,0.015817189288286793,0.8237556443479006,0.5512560584355047,,,,stable,0.0,0.0,0.0,-0.0268820640762619,0.0426992533645487,-0.0380623042760865,-0.0192457198673264,-0.065743961067928,-0.109266963147212,0.2318337621533535,0.1323843592412259,10.84,6.29,0.026642975354975285,111.98273843778179,105.89808889376118,
2023-09-21,109.06327056884766,134004,10949.419921875,93.3000030517578,17.540000915527344,5.5,42.37895202636719,54.166657907250816,108.95931587219238,,,1,0,0,-0.0017301079140408238,0.003478339612469572,0.5052374403700942,0.5170958662737138,,,,stable,0.0,0.0,0.0,-0.0399708811359028,0.0434492207483724,-0.0329288812191499,-0.0319726911527169,-0.0641247959708827,-0.1236073812890617,0.2339686610996001,0.1138938069629564,10.82,6.28,0.012280731321887561,111.99966185381476,105.91896989057,
2023-09-25,108.87425994873048,190074,10877.9404296875,93.29000091552734,16.899999618530273,5.5,41.56877136230469,46.428583441489735,108.89315948486328,,,0,0,0,-0.0017330364212565508,-0.012006888495763257,0.740739586041014,0.49683315978571113,,,,stable,0.0,0.0,0.0,-0.0516272209878375,0.0396203324920743,-0.0486112235235437,-0.0551308328497218,-0.0729166951347503,-0.1463128880283563,0.2100692294739159,0.0836786549426582,10.8,6.27,0.015873053161754358,111.87713323376249,105.90918573596406,
